iter	RMSE
0	0.5610409901
1	0.5242292807
2	0.4907698567
3	0.4599216471
4	0.4324724437
5	0.4077651979
6	0.3867565571
7	0.3685620304
8	0.3519012205
9	0.3370710855
10	0.3243403501
11	0.3115097499
12	0.3015470877
13	0.292191909
14	0.2849766593
15	0.2772570677
16	0.2712476665
17	0.2661202584
18	0.2605157154
19	0.255364363
20	0.2511468204
21	0.2456270714
22	0.2406597044
23	0.2369546544
24	0.2337362103
25	0.2304652344
26	0.2275403958
27	0.2251610939
28	0.2229031335
29	0.2210480598
30	0.2188606314
31	0.2162198789
32	0.2140679014
33	0.2127514946
34	0.2110650416
35	0.2094739268
36	0.2077631617
37	0.2064334664
38	0.2050407047
39	0.203729086
40	0.2026155867
41	0.2015743793
42	0.2008746855
43	0.199237284
44	0.1986123226
45	0.1969519885
46	0.1962240622
47	0.1954849379
48	0.1945126916
49	0.1942427607
50	0.1936726588
51	0.1924658454
52	0.1916622845
53	0.1910361414
54	0.190322755
55	0.1897536602
56	0.1889623484
57	0.1875255349
58	0.1868504587
59	0.1864076731
60	0.1858397324
61	0.1852555866
62	0.1837655366
63	0.1827443184
64	0.1813347635
65	0.1806696239
66	0.1801880248
67	0.1796390795
68	0.1784072293
69	0.1778160726
70	0.1767493403
71	0.1753370489
72	0.174404359
73	0.17383832
74	0.1733847426
75	0.172977887
76	0.1719484079
77	0.1713298421
78	0.1708410828
79	0.169831849
80	0.1692760807
81	0.1686498036
82	0.1680223341
83	0.1677708422
84	0.167450202
85	0.16689321
86	0.1663542354
87	0.1661203936
88	0.165436482
89	0.1650925018
90	0.1647106645
91	0.164108961
92	0.1636243967
93	0.1634914889
94	0.163132948
95	0.1627552236
96	0.1624390826
97	0.1616947924
98	0.1613287118
99	0.1607004326
100	0.1601842683
101	0.1596907348
102	0.1589785861
103	0.1586676009
104	0.1583490511
105	0.158186031
106	0.1578602336
107	0.1577126146
108	0.1573994161
109	0.1568793223
110	0.1568049284
111	0.1562993752
